Epoch,SaliencyIMP,RemainingParams,Accuracy
1,0.0004073248419445008,90.0,64.86
8,0.0006709690787829459,81.0,67.37
15,0.0009334200876764953,72.9,68.2
22,0.0011881024111062288,65.61,68.01
28,0.0014704101486131549,59.049,69.03
35,0.0016908784164115787,53.1441,68.69
42,0.0019171817693859339,47.8297,68.7
49,0.0021385408472269773,43.0467,69.64
56,0.00235921167768538,38.7421,69.17
63,0.0025902753695845604,34.8679,68.72
70,0.002828374272212386,31.3811,68.66
76,0.0031531504355371,28.243,69.36
83,0.003361160634085536,25.4187,68.57
90,0.003603902645409107,22.8768,69.31
97,0.0038943213876336813,20.5891,69.67
104,0.004211917519569397,18.5302,69.25
111,0.004535074811428785,16.6772,69.64
118,0.004879881627857685,15.0095,69.33
125,0.00525672035291791,13.5085,68.74
131,0.005870483815670013,12.1577,69.15
138,0.0061906734481453896,10.9419,69.23
145,0.0066920011304318905,9.8477,69.58
152,0.007184274028986692,8.863,69.67
159,0.007742612157016993,7.9767,69.75
166,0.008366543799638748,7.179,68.97
173,0.009047472849488258,6.4611,68.84
179,0.009984985925257206,5.815,69.45
186,0.010466345585882664,5.2335,69.61
193,0.011304161511361599,4.7102,69.84
200,0.0119876554235816,4.2391,70.28
207,0.012877445667982101,3.8152,69.85
214,0.013913466595113277,3.4337,68.31
221,0.014853485859930515,3.0903,69.92
227,0.01624154858291149,2.7813,70.0
234,0.01721074990928173,2.5032,69.43
241,0.018581118434667587,2.2529,69.39
248,0.01998692750930786,2.0276,69.6
255,0.021583950147032738,1.8248,69.33
262,0.02326507866382599,1.6423,69.11
269,0.025159867480397224,1.4781,68.61
275,0.02766292914748192,1.3303,68.51
282,0.02943323738873005,1.1973,68.28
289,0.03160057216882706,1.0775,68.05
296,0.033809248358011246,0.9698,68.21
303,0.036427561193704605,0.8728,67.1
310,0.03867693245410919,0.7855,67.19
317,0.04144112020730972,0.707,67.08
324,0.04399271309375763,0.6363,66.21
330,0.047388311475515366,0.5727,65.7
337,0.049606189131736755,0.5154,65.53
344,0.05200674757361412,0.4639,64.46
351,0.05481109395623207,0.4175,64.37
358,0.0574202686548233,0.3757,63.4
365,0.05985952913761139,0.3382,63.26
372,0.0626438781619072,0.3043,62.42
378,0.06643916666507721,0.2739,62.02
385,0.06821004301309586,0.2465,60.16
392,0.07077760249376297,0.2219,60.48
399,0.07272908091545105,0.1997,58.8
