Saliency,Remaining,Accuracy,Epochs
0,100.0,91.66,1
0.2,100.0,92.65,2
0.45,86.4899,92.21,3
0.75,14.9576,92.48,27
0.95,14.3132,92.95,28
1.2,13.5169,92.62,29
1.5,12.5486,92.85,30
1.85,11.4215,92.7,31
2.25,2.837,92.24,53
2.45,2.7216,93.15,54
2.7,2.6034,93.32,55
3.0,2.4793,92.54,56
3.35,2.3462,93.03,57
3.75,2.2072,92.43,58
4.2,2.0649,92.87,59
4.7,1.922,92.26,60
5.25,0.648,91.39,85
5.45,0.6308,91.34,86
5.7,0.6131,90.82,87
6.0,0.5951,90.84,88
6.35,0.5771,90.51,89
6.75,0.5597,91.51,90
7.2,0.5409,91.29,91
7.7,0.5223,90.56,92
8.25,0.5036,90.79,93
8.85,0.4853,90.46,94
