Epoch,Saliency,Remaining,Accuracy
1,0.0004085748514626175,90.0,63.93
8,0.0006719268276356161,81.0,67.4
15,0.0009313301998190582,72.9,68.17
22,0.0011878896038979292,65.61,69.29
29,0.0014322923962026834,59.049,68.32
36,0.0016719395061954856,53.1441,68.12
42,0.001953649101778865,47.8297,68.47
49,0.002153808018192649,43.0467,68.96
56,0.00237022596411407,38.7421,68.52
63,0.0025974316522479057,34.8679,68.42
70,0.0028282818384468555,31.3811,68.84
77,0.0030723565723747015,28.243,69.03
84,0.0033186585642397404,25.4187,68.76
91,0.003601016942411661,22.8768,68.33
98,0.003888605860993266,20.5891,70.24
105,0.004196423105895519,18.5302,69.3
112,0.00454222084954381,16.6772,69.27
119,0.0048812623135745525,15.0095,68.41
126,0.005260113626718521,13.5085,68.82
132,0.005849706009030342,12.1577,67.82
139,0.006216622423380613,10.9419,68.95
146,0.0066337487660348415,9.8477,69.33
153,0.007204852998256683,8.863,69.53
160,0.007755812723189592,7.9767,69.47
167,0.008350859396159649,7.179,68.44
174,0.009023782797157764,6.4611,69.87
181,0.009728229604661465,5.815,69.48
188,0.010393409989774227,5.2335,69.96
195,0.011234180070459843,4.7102,69.42
202,0.012001554481685162,4.2391,69.07
208,0.013290842063724995,3.8152,69.82
215,0.014002070762217045,3.4337,69.63
222,0.014887118712067604,3.0903,69.0
229,0.016023483127355576,2.7813,68.95
236,0.017172493040561676,2.5032,69.51
243,0.018401483073830605,2.2529,69.8
250,0.019909368827939034,2.0276,69.15
257,0.021491046994924545,1.8248,68.96
264,0.023215757682919502,1.6423,68.77
271,0.025187503546476364,1.4781,68.1
278,0.027042889967560768,1.3303,68.51
285,0.029170341789722443,1.1973,67.44
292,0.031572431325912476,1.0775,67.71
298,0.03459106758236885,0.9698,67.44
305,0.03658895194530487,0.8728,66.95
312,0.03901493176817894,0.7855,66.94
319,0.041389986872673035,0.707,66.4
326,0.0439969077706337,0.6363,66.06
333,0.046652596443891525,0.5727,66.18
340,0.049291759729385376,0.5154,65.08
347,0.05199822038412094,0.4639,64.73
354,0.054731328040361404,0.4175,63.48
361,0.056918416172266006,0.3757,62.93
368,0.05973432958126068,0.3382,63.67
374,0.06365524232387543,0.3043,62.34
381,0.06563255190849304,0.2739,61.27
388,0.06814268976449966,0.2465,61.16
395,0.07037435472011566,0.2219,59.46
402,0.07277632504701614,0.1997,58.18
409,0.07536467909812927,0.1797,58.21
416,0.07746937870979309,0.1618,56.06
423,0.08034340292215347,0.1456,55.99
430,0.08187267184257507,0.131,52.87
437,0.08316116034984589,0.1179,52.63
444,0.08643601089715958,0.1061,50.5
451,0.08679749816656113,0.0955,48.48
458,0.08801805227994919,0.086,46.34
464,0.09401698410511017,0.0774,43.97
471,0.09596742689609528,0.0696,40.97
478,0.0956948772072792,0.0627,36.67
485,0.09474411606788635,0.0564,32.64
492,0.09610478579998016,0.0508,31.6
499,0.09692111611366272,0.0457,27.68
